!SIL 1.0	sil
<UNK> 1.0	spn
कमांडेड 1.0	k a m aa q dx ee dx
महरौली 1.0	m a h r ou l ii
एडहॉक 1.0	ee dx h ax k
दर्रे 1.0	d a r r ee
भोलू 1.0	bh oo l uu
पंखुड़ी 1.0	p a q kh u dxq ii
थियेटर 1.0	th i y ee tx a r
भारते 1.0	bh aa r t ee
नरकासुर 1.0	n a r k aa s u r
गिनाये 1.0	g i n aa y ee
संगत 1.0	s a q g a t
लोखंड़े 1.0	l oo kh a q dxq ee
जंगीपुर 1.0	j a q g ii p u r
भिड़ेगा 1.0	bh i dxq ee g aa
रुके 1.0	r u k ee
वास्तुकारों 1.0	w aa s t u k aa r oo q
पुरातत्वविद 1.0	p u r aa t a t w a w i d
दवाईयों 1.0	d a w aa ii y oo q
जाचंकर्ता 1.0	j aa c a q k a r t aa
एकड 1.0	ee k a dx
थानों 1.0	th aa n oo q
गैरीसन 1.0	g ei r ii s a n
विस्निविस्का 1.0	w i s n i w i s k aa
षष्ठ 1.0	sx a sx txh
फिज़ा 1.0	ph i z aa
कों 1.0	k oo q
लतीफों 1.0	l a t ii ph oo q
उपस्थित 1.0	u p a s th i t
लाॅकडाउन 1.0	l aa ae k dx aa u n
पसली 1.0	p a s l ii
तबू 1.0	t a b uu
स्थापित 1.0	s th aa p i t
कटाने 1.0	k a tx aa n ee
छिलके 1.0	ch i l k ee
वेरिफाई 1.0	w ee r i ph aa ii
हक 1.0	h a k
अंजुमन 1.0	a q j u m a n
कालेजिस 1.0	k aa l ee j i s
शर्मिंदगी 1.0	sh a r m i q d a g ii
सोनिया 1.0	s oo n i y aa
सक्सैना 1.0	s a k s ei n aa
कमजोर 1.0	k a m j oo r
गोपालगंज 1.0	g oo p aa l g a q j
सिंगाजी 1.0	s i q g aa j ii
डोम 1.0	dx oo m
सैनन 1.0	s ei n a n
जरदोश्त 1.0	j a r d oo sh t
ट्रॉयल 1.0	tx r ax y a l
बोतलें 1.0	b oo t l ee q
थाटों 1.0	th aa tx oo q
चिन्तकों 1.0	c i n t a k oo q
मोहिब्बुल 1.0	m oo h i b b u l
लुक 1.0	l u k
ची 1.0	c ii
ज्ञानेश्वरजीके 1.0	j nj aa n ee sh w a r a j ii k ee
सिंघोवाल 1.0	s i q gh oo w aa l
ग्रीष्म 1.0	g r ii sx m
एग 1.0	ee g
वैमनस्य 1.0	w ei m n a s y
रंगपुर 1.0	r a q g a p u r
जंग 1.0	j a q g
आईटीओ 1.0	aa ii tx ii oo
बून्दी 1.0	b uu n d ii
विनोरेल्बाइन 1.0	w i n oo r ee l b aa i n
चिकमगलूर 1.0	c i k a m g a l uu r
ब्यौरे 1.0	b y ou r ee
बैंकर्स 1.0	b ei q k a r s
शिवबाड़ी 1.0	sh i w b aa dxq ii
सोनाली 1.0	s oo n aa l ii
एनेक्सी 1.0	ee n ee k s ii
दी 1.0	d ii
बोर्डर 1.0	b oo r dx a r
आवृत्ति 1.0	aa w rq t t i
प्यारे 1.0	p y aa r ee
गणपति 1.0	g a nx a p t i
ब्रह्माण्ड 1.0	b r a h m aa nx dx
लम्बा 1.0	l a m b aa
सुजानगंगा 1.0	s u j aa n g a q g aa
स्थानविशेष 1.0	s th aa n w i sh ee sx
निर्धन 1.0	n i r dh a n
बढ़ी 1.0	b a dxhq ii
भावनाएं 1.0	bh aa w n aa ee q
मेहता 1.0	m ee h t aa
प्रजाती 1.0	p r j aa t ii
कपडे़ 1.0	k a p dx ee nk
सिद्धेश 1.0	s i d dh ee sh
द्वैतशंकु 1.0	d w ei t sh a q k u
गाते 1.0	g aa t ee
माधवगुप्त 1.0	m aa dh a w g u p t
रूपसा 1.0	r uu p s aa
चेताया 1.0	c ee t aa y aa
बुशार्ड 1.0	b u sh aa r dx
गयाक्षेत्र 1.0	g a y aa k sx ee t r
पंच 1.0	p a q c
स्तुति 1.0	s t u t i
डोडरा 1.0	dx oo dx r aa
पास्ट 1.0	p aa s tx
नाचता 1.0	n aa c t aa
नास्रिड 1.0	n aa s r i dx
एरोप्लेन 1.0	ee r oo p l ee n
मृगन्नाथ 1.0	m rq g a n n aa th
ओलोर 1.0	oo l oo r
केंडल 1.0	k ee q dx a l
बालशौरि 1.0	b aa l sh ou r i
वानिकी 1.0	w aa n i k ii
कोना 1.0	k oo n aa
होन्शु 1.0	h oo n sh u
पटकथा 1.0	p a tx k a th aa
नाजी 1.0	n aa j ii
व्हाट्सएप्प 1.0	w h aa tx s a ee p p
ऑक्सीडेंट्स 1.0	ax k s ii dx ee q tx s
थोङा 1.0	th oo ng aa
धूमनगंज 1.0	dh uu m a n g a q j
अध्यस्त 1.0	a dh y a s t
मेकेनिकल 1.0	m ee k ee n i k a l
सबयूनिट 1.0	s a b y uu n i tx
अशाब्दिक 1.0	a sh aa b d i k
इसहाक 1.0	i s h aa k
बालूचरी 1.0	b aa l uu c r ii
प्रोडक्ट्स 1.0	p r oo dx a k tx s
सज्जन 1.0	s a j j a n
छत्रपति 1.0	ch a t r a p a t i
कड़वासरा 1.0	k a dxq w aa s r aa
कढ़ाई 1.0	k a dxhq aa ii
आप्रवासन 1.0	aa p r a w aa s a n
कोलारस 1.0	k oo l aa r a s
आवश्यकता 1.0	aa w a sh y a k a t aa
मिठाइयों 1.0	m i txh aa i y oo q
कॉन्फ्रेन्सिंग 1.0	k ax n ph r ee n s i q g
चातुर्य 1.0	c aa t u r y
सेलेना 1.0	s ee l ee n aa
वैड 1.0	w ei dx
राओस 1.0	r aa oo s
अर्पिता 1.0	a r p i t aa
इन्फ्रास्ट्रक्चर 1.0	i n ph r aa s tx r a k c a r
खिलाना 1.0	kh i l aa n aa
शकीर 1.0	sh a k ii r
सेक्टरों 1.0	s ee k tx a r oo q
चार 1.0	c aa r
शिफॉन 1.0	sh i ph ax n
मार्श 1.0	m aa r sh
देवदेश 1.0	d ee w d ee sh
आश्रिता 1.0	aa sh r i t aa
जावास्क्रिप्ट 1.0	j aa w aa s k r i p tx
अदर 1.0	a d a r
दिवारो 1.0	d i w aa r oo
लपेटने 1.0	l a p ee tx n ee
प्रयाप्त 1.0	p r y aa p t
मोमेंट्स 1.0	m oo m ee q tx s
पूजापाठ 1.0	p uu j aa p aa txh
रतिराम 1.0	r a t i r aa m
साक्षत्कार 1.0	s aa k sx a t k aa r
नॉर्वेजियन 1.0	n ax r w ee j i y a n
कोल्हापुर 1.0	k oo l h aa p u r
अलादीन 1.0	a l aa d ii n
बलवन्ती 1.0	b a l w a n t ii
मुहैय्या 1.0	m u h ei y y aa
सेल्टोस 1.0	s ee l tx oo s
नामोनिशान 1.0	n aa m oo n i sh aa n
सुधारनी 1.0	s u dh aa r n ii
विधायकजी 1.0	w i dh aa y k a j ii
सींगोंवाले 1.0	s ii q g oo q w aa l ee
जागते 1.0	j aa g t ee
लैटिनअँग्रँजी 1.0	l ei tx i n a a mq g r a mq j ii
विजयपाल 1.0	w i j a y p aa l
मोनोगन 1.0	m oo n oo g a n
इत्तेफ़ाक 1.0	i t t ee f aa k
क़तर 1.0	kq a t a r
जीन्द 1.0	j ii n d
कचराकानहल्ली 1.0	k a c r aa k aa n h a l l ii
वाकाणी 1.0	w aa k aa nx ii
एरियन 1.0	ee r i y a n
आर्ध 1.0	aa r dh
अहर्ताओं 1.0	a h a r t aa oo q
परिपोषित 1.0	p a r i p oo sx i t
ब्रेट 1.0	b r ee tx
अरविंद 1.0	a r w i q d
कोनीफर 1.0	k oo n ii ph a r
श्याम 1.0	sh y aa m
हटाया 1.0	h a tx aa y aa
अनुश्रवण 1.0	a n u sh r a w a nx
ओद्यौगिक 1.0	oo d y ou g i k
रहीं 1.0	r a h ii q
अनुबंधों 1.0	a n u b a q dh oo q
वारसी 1.0	w aa r s ii
रजबन 1.0	r a j b a n
देंगें 1.0	d ee q g ee q
इंदर 1.0	i q d a r
सीरियाइराक़ 1.0	s ii r i y aa i r aa kq
चंद्रपाल 1.0	c a q d r a p aa l
टेरेसा 1.0	tx ee r ee s aa
फसाद 1.0	ph a s aa d
वास्तुकलारूपरेखा 1.0	w aa s t u k l aa r uu p r ee kh aa
सोसाइटी 1.0	s oo s aa i tx ii
कियारा 1.0	k i y aa r aa
अधिरचना 1.0	a dh i r c a n aa
क्रावडैडी 1.0	k r aa w dx ei dx ii
मुनमुन 1.0	m u n m u n
व्हॉट्सएप 1.0	w h ax tx s a ee p
कुस्तुंतुनिया 1.0	k u s t u q t u n i y aa
ठुकराल 1.0	txh u k r aa l
कुठाराघात 1.0	k u txh aa r aa gh aa t
निताई 1.0	n i t aa ii
नागोरी 1.0	n aa g oo r ii
टेलीग्राफिक 1.0	tx ee l ii g r aa ph i k
ओश 1.0	oo sh
पत्तदकल 1.0	p a t t a d k a l
लहलहाती 1.0	l a h l a h aa t ii
सिफारिश 1.0	s i ph aa r i sh
प्रधानमंत्ती 1.0	p r dh aa n m a q t t ii
ग्रेविटी 1.0	g r ee w i tx ii
नयनों 1.0	n a y n oo q
नोवार्टिस 1.0	n oo w aa r tx i s
फ्लाई 1.0	ph l aa ii
रंगारंग 1.0	r a q g aa r a q g
एसटीः 1.0	ee s tx ii hq
आफीस 1.0	aa ph ii s
स्क्वैमससेल 1.0	s k w ei m s a s ee l
रामजानकी 1.0	r aa m j aa n k ii
साँक 1.0	s aa mq k
वेट्स 1.0	w ee tx s
पढ़ाती 1.0	p a dxhq aa t ii
इन्वेस्टमेंट 1.0	i n w ee s tx a m ee q tx
मौलाना 1.0	m ou l aa n aa
रायगढचौक 1.0	r aa y g a dxh c ou k
मरे 1.0	m a r ee
रतनपुरिहा 1.0	r a t n a p u r i h aa
जकड़ती 1.0	j a k a dxq t ii
अस्थिबेधक 1.0	a s th i b ee dh a k
समूहअपने 1.0	s a m uu h a a p n ee
मांगो 1.0	m aa q g oo
भाईजान 1.0	bh aa ii j aa n
आर्तों 1.0	aa r t oo q
बेमतलब 1.0	b ee m t a l a b
डब्ल्यूडब्ल्यूडब्ल्यूदविंकस्टोरडॉटकॉम 1.0	dx a b l y uu dx a b l y uu dx a b l y uu d w i q k a s tx oo r dx ax tx k ax m
अनुसन्धान 1.0	a n u s a n dh aa n
गैरमानवीय 1.0	g ei r m aa n w ii y
ह्वेन 1.0	h w ee n
ध्यातव्य 1.0	dh y aa t a w y
कही 1.0	k a h ii
नेपाल 1.0	n ee p aa l
गदगद 1.0	g a d g a d
ख़ानदान 1.0	khq aa n d aa n
दीवालों 1.0	d ii w aa l oo q
खानोलकर 1.0	kh aa n oo l k a r
हर्जेगोविना 1.0	h a r j ee g oo w i n aa
वकीलों 1.0	w a k ii l oo q
चार्ली 1.0	c aa r l ii
वहीं 1.0	w a h ii q
रीठी 1.0	r ii txh ii
रुह 1.0	r u h
जेनेरेसन 1.0	j ee n ee r ee s a n
पुलिसवाले 1.0	p u l i s w aa l ee
लोकदेवताओं 1.0	l oo k d ee w t aa oo q
पेचिश 1.0	p ee c i sh
प्रकाशवर्ष 1.0	p r k aa sh w a r sx
कोडशेयर 1.0	k oo dx sh ee y a r
खड़ी 1.0	kh a dxq ii
स्नेहिजनों 1.0	s n ee h i j n oo q
खोली 1.0	kh oo l ii
यति 1.0	y a t i
प्राणवान् 1.0	p r aa nx w aa n
तान्या 1.0	t aa n y aa
देति 1.0	d ee t i
कलेक्ट 1.0	k a l ee k tx
बोलीं 1.0	b oo l ii q
पुरुषोत्तमदास 1.0	p u r u sx oo t t a m d aa s
दर्शाती 1.0	d a r sh aa t ii
बोले 1.0	b oo l ee
भैरो 1.0	bh ei r oo
चिन्ना 1.0	c i n n aa
सीयूकी 1.0	s ii y uu k ii
भुजंग 1.0	bh u j a q g
सर्पाकृति 1.0	s a r p aa k rq t i
ददायरा 1.0	d a d aa y r aa
फस्र्ट 1.0	ph a s r tx
महुआ 1.0	m a h u aa
मेक 1.0	m ee k
ब्रजेश 1.0	b r j ee sh
गर्भधारण 1.0	g a r bh a dh aa r a nx
संदेशों 1.0	s a q d ee sh oo q
समझेगा 1.0	s a m jh ee g aa
डाहलिनस्मिथवाइट 1.0	dx aa h l i n a s m i th w aa i tx
कडाई 1.0	k a dx aa ii
सूचियों 1.0	s uu c i y oo q
बहुवर्षायु 1.0	b a h u w a r sx aa y u
सिखों 1.0	s i kh oo q
बाइक्स 1.0	b aa i k s
असमान 1.0	a s m aa n
सारभूत 1.0	s aa r bh uu t
असक्रिय 1.0	a s a k r i y
माफिया 1.0	m aa ph i y aa
वीरों 1.0	w ii r oo q
गौडा 1.0	g ou dx aa
शॉकिंग 1.0	sh ax k i q g
सिखाई 1.0	s i kh aa ii
संकुचित 1.0	s a q k u c i t
मुख्यधारा 1.0	m u kh y a dh aa r aa
निरूपित 1.0	n i r uu p i t
कट्टी 1.0	k a tx tx ii
ढ़ंग 1.0	dxhq a q g
दोहद 1.0	d oo h a d
तहलका 1.0	t a h a l k aa
सम्प्रदाय 1.0	s a m p r a d aa y
दीर्घकालिक 1.0	d ii r gh a k aa l i k
सिमरन 1.0	s i m r a n
ब्रिलियंट 1.0	b r i l i y a q tx
चिरुता 1.0	c i r u t aa
श्रीनरेश 1.0	sh r ii n r ee sh
असद्दुदीन 1.0	a s a d d u d ii n
मॉल 1.0	m ax l
शिंजिरो 1.0	sh i q j i r oo
कामिनी 1.0	k aa m i n ii
उलझकर 1.0	u l a jh k a r
रामकंवाार 1.0	r aa m k a q w aa aa r
रोजकामेव 1.0	r oo j k aa m ee w
अगावा 1.0	a g aa w aa
कशमीरी 1.0	k a sh m ii r ii
कैरू 1.0	k ei r uu
वास 1.0	w aa s
डीलर 1.0	dx ii l a r
कालीसिए 1.0	k aa l ii s i ee
पिकी 1.0	p i k ii
वायदों 1.0	w aa y d oo q
माल्टोस 1.0	m aa l tx oo s
काॅइल 1.0	k aa ae i l
अन्तःकरण 1.0	a n t a hq k a r a nx
तेरहवां 1.0	t ee r a h w aa q
चेका 1.0	c ee k aa
एयरपोर्ट्स 1.0	ee y a r p oo r tx s
कैमरी 1.0	k ei m r ii
त्याज्य 1.0	t y aa j y
समस्तीपुर 1.0	s a m a s t ii p u r
एसएनसीयू 1.0	ee s a ee n s ii y uu
सन्नू 1.0	s a n n uu
मोनिंदर 1.0	m oo n i q d a r
वफ़ा 1.0	w a f aa
आदिवासियों 1.0	aa d i w aa s i y oo q
विजयनगर 1.0	w i j y a n g a r
देवरालाभट्टू 1.0	d ee w r aa l aa bh a tx tx uu
एपीएसी 1.0	ee p ii ee s ii
अक्टूबर 1.0	a k tx uu b a r
पाखी 1.0	p aa kh ii
नेवल 1.0	n ee w a l
उत्साह 1.0	u t s aa h
एंडेवर 1.0	ee q dx ee w a r
गीज़ा 1.0	g ii z aa
बालिंग 1.0	b aa l i q g
देवताओँ 1.0	d ee w t aa oo mq
भंसाली 1.0	bh a q s aa l ii
बखूबी 1.0	b a kh uu b ii
जैसों 1.0	j ei s oo q
ज़ायोनी 1.0	z aa y oo n ii
चाट 1.0	c aa tx
सीटिजन 1.0	s ii tx i j a n
तापी 1.0	t aa p ii
त्संगपो 1.0	t s a q g a p oo
मिश्रित 1.0	m i sh r i t
प्राणी 1.0	p r aa nx ii
डीजीसीए 1.0	dx ii j ii s ii ee
तेज़ाब 1.0	t ee z aa b
पुसेरा 1.0	p u s ee r aa
जनसुरक्षा 1.0	j a n s u r a k sx aa
मनुस्मृति 1.0	m a n u s m rq t i
लैब 1.0	l ei b
सफीदों 1.0	s a ph ii d oo q
आनंतपुर 1.0	aa n a q t a p u r
एनई 1.0	ee n a ii
उपचुनावों 1.0	u p a c u n aa w oo q
हिजबुल 1.0	h i j b u l
हथियार 1.0	h a th i y aa r
बारिश 1.0	b aa r i sh
बैबेल्सबर्ग 1.0	b ei b ee l s a b a r g
कोरिया 1.0	k oo r i y aa
पंचर 1.0	p a q c a r
डगमगा 1.0	dx a g a m g aa
वैष्णो 1.0	w ei sx nx oo
चौकाने 1.0	c ou k aa n ee
पंतुलू 1.0	p a q t u l uu
बलदेवप्रसाद 1.0	b a l d ee w a p r a s aa d
कामोंकी 1.0	k aa m oo q k ii
उपायुक्त 1.0	u p aa y u k t
ट्रांसपोर्टनगर 1.0	tx r aa q s a p oo r tx a n a g a r
आईशी 1.0	aa ii sh ii
भरें 1.0	bh a r ee q
पाचवाँ 1.0	p aa c w aa mq
ला 1.0	l aa
मुर्शिदाबाद 1.0	m u r sh i d aa b aa d
डिक्की 1.0	dx i k k ii
रिएक्टर 1.0	r i ee k tx a r
त्यौहार 1.0	t y ou h aa r
हैजिसके 1.0	h ei j i s k ee
पित्ती 1.0	p i t t ii
ऑल्टर 1.0	ax l tx a r
सरवन 1.0	s a r w a n
हावि 1.0	h aa w i
खुशहाली 1.0	kh u sh h aa l ii
शोर 1.0	sh oo r
बहता 1.0	b a h t aa
थैलस 1.0	th ei l a s
पुष्पिका 1.0	p u sx p i k aa
क्षितिज 1.0	k sx i t i j
ओछी 1.0	oo ch ii
दौड़ने 1.0	d ou dxq n ee
महाकालेश्वर 1.0	m a h aa k aa l ee sh w a r
साइंसेज 1.0	s aa i q s ee j
सुनाएंगे 1.0	s u n aa ee q g ee
स्कलों 1.0	s k l oo q
संगीतलिपि 1.0	s a q g ii t l i p i
समझा 1.0	s a m jh aa
रासगैस 1.0	r aa s g ei s
डसकर 1.0	dx a s k a r
भात 1.0	bh aa t
चतुर 1.0	c a t u r
बनासकांठा 1.0	b a n aa s k aa q txh aa
बद्री 1.0	b a d r ii
वीड़ियो 1.0	w ii dxq i y oo
कैलासवटिवु 1.0	k ei l aa s a w tx i w u
ग्लव्ज 1.0	g l a w j
फहाद 1.0	ph a h aa d
बालियान 1.0	b aa l i y aa n
पाटलिपुत्र 1.0	p aa tx l i p u t r
विद्रोही 1.0	w i d r oo h ii
बगदादी 1.0	b a g d aa d ii
दबंगई 1.0	d a b a q g a ii
विशिष्ठ 1.0	w i sh i sx txh
लाइटवेट 1.0	l aa i tx w ee tx
पनसुइया 1.0	p a n s u i y aa
बैटमैन 1.0	b ei tx m ei n
डेप 1.0	dx ee p
दीप्ति 1.0	d ii p t i
भर्ती 1.0	bh a r t ii
परेसान 1.0	p a r ee s aa n
संपरीक्षक 1.0	s a q p a r ii k sx a k
जैकबसेन 1.0	j ei k b a s ee n
डेको 1.0	dx ee k oo
स्काईवॉक 1.0	s k aa ii w ax k
सहसितारों 1.0	s a h s i t aa r oo q
कांसे 1.0	k aa q s ee
चंद्रग्रहण 1.0	c a q d r a g r a h a nx
स्कूलों 1.0	s k uu l oo q
एनालिस्ट 1.0	ee n aa l i s tx
बुमरा 1.0	b u m r aa
गर्भ 1.0	g a r bh
खर्चीला 1.0	kh a r c ii l aa
रियाई 1.0	r i y aa ii
मुल्खराज 1.0	m u l kh a r aa j
हाइपॉक्सिया 1.0	h aa i p ax k s i y aa
प्रोफाइन 1.0	p r oo ph aa i n
टिकटों 1.0	tx i k tx oo q
